2025-08-18 15:09:48.244 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 2.733 seconds (process running for 3.427)
2025-08-18 15:17:38.576 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-18 15:17:38.640 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 19836 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-18 15:17:38.642 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-18 15:17:40.893 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-18 15:17:40.903 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-18 15:17:40.904 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-08-18 15:17:40.904 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-08-18 15:17:41.013 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-08-18 15:17:41.014 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2308 ms
2025-08-18 15:17:42.038 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@42cc5460, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5486ee92, org.springframework.security.web.context.SecurityContextHolderFilter@674184d, org.springframework.security.web.header.HeaderWriterFilter@5885e231, org.springframework.security.web.authentication.logout.LogoutFilter@16c5b50a, com.ankai.security.JwtAuthenticationFilter@6b4a4e40, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5835e24a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5238896f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@20820df0, org.springframework.security.web.session.SessionManagementFilter@2712e8f4, org.springframework.security.web.access.ExceptionTranslationFilter@27d98bef, org.springframework.security.web.access.intercept.AuthorizationFilter@406ad6d5]
2025-08-18 15:17:42.285 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-18 15:17:42.305 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api'
2025-08-18 15:17:42.313 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 4.431 seconds (process running for 5.499)
2025-08-18 15:18:39.325 [http-nio-8080-exec-2] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-18 15:18:39.325 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-18 15:18:39.327 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-08-18 17:08:28.459 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-18 17:08:28.496 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 23652 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-18 17:08:28.497 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-18 17:08:29.582 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-18 17:08:29.591 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-18 17:08:29.591 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-08-18 17:08:29.591 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-08-18 17:08:29.662 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-08-18 17:08:29.662 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1130 ms
